EKG II,EKG III,RESP,ETCO2,125,17.11.21,14:39:09
1461,465,0,0
1798,786,0,0
2119,1059,0,0
2440,1413,0,0
2730,1750,0,0
2842,1894,0,0
2970,2039,0,0
3243,2360,0,0
3741,2922,0,0
4014,3532,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
2762,3195,0,0
1348,1525,0,0
1557,1284,0,0
1830,1429,0,0
2585,2184,0,0
3725,3324,0,0
4014,3822,0,0
4014,3934,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
4014,3854,0,0
4014,3661,0,0
4014,3532,0,0
4014,3645,0,0
4014,4014,0,0
4014,4014,0,0
4014,3982,0,0
4014,3854,0,0
4014,3918,0,0
3549,3195,0,0
1991,1638,0,0
979,642,0,0
1011,658,0,0
1268,915,0,0
931,610,0,0
353,32,0,0
192,0,0,0
1156,819,0,0
1927,1573,0,0
1991,1621,0,0
1589,1220,0,0
1605,1188,0,0
2200,1766,0,0
3565,3147,0,0
4014,4014,0,0
4014,4014,0,0
3998,3629,0,0
3725,3436,0,0
3581,3324,0,0
3870,3613,0,0
4014,4014,0,0
4014,4014,0,0
3741,3532,0,0
3147,2922,0,0
3019,2762,0,0
3516,3211,0,0
4014,4014,0,0
4014,4014,0,0
4014,4014,0,0
3276,3918,0,0
851,1493,0,0
0,128,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,337,0
738,529,337,0
1621,1397,337,0
2746,2505,449,0
3725,3484,1236,0
4014,4014,1899,0
4014,4014,1899,0
4014,4014,1899,0
4014,4014,2119,0
4014,4014,2970,0
4014,4014,3501,0
4014,4014,3501,0
4014,4014,3501,0
4014,4014,3677,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
64,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
3613,2810,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
2569,1814,4014,0
0,0,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
0,0,4014,0
0,0,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
1332,417,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
2537,1493,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
2119,1348,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
4014,4014,4014,0
3324,3324,4014,0
0,0,4014,0
4014,4014,4014,0
4014,4014,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,4014,0
0,0,3982,0
0,0,3849,0
0,0,3849,0
0,0,3849,0
0,0,3805,0
0,0,3549,0
0,0,3356,0
2649,1894,3356,0
4014,4014,3356,0
4014,4014,3292,0
0,0,3067,0
0,0,2958,0
0,0,2958,0
0,0,2958,0
0,0,2922,0
0,0,2874,0
0,0,2922,0
0,0,2922,0
0,0,2922,0
0,0,2938,0
0,0,3003,0
0,0,3015,0
0,0,3015,0
0,0,3015,0
0,0,3019,0
0,0,3051,0
0,0,3075,0
0,0,3075,0
0,0,3075,0
0,0,3083,0
0,0,3099,0
0,0,3014,0
0,0,3014,0
0,0,3014,0
0,0,2986,0
4014,4014,2794,0
4014,4014,2601,0
4014,4014,2601,0
4014,4014,2601,0
4014,4014,2537,0
4014,4014,2232,0
4014,4014,2003,0
